iteration_id,Runtime (s),Radius,Vres,MinP,N_points,N_hulls,N_trees,0_hulls (%),1_hull (%),2_hull (%),3_hull (%),4+_hull (%),1_to_1_matches (%)
35,14.144689083099363,1.5,3.0,5,222471,84,29,0.0,100.0,0.0,0.0,0.0,79.3103448275862
41,19.604089498519897,2.0,1.0,5,222460,77,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,75.86206896551724
43,13.85352897644043,2.0,1.5,3,222504,77,29,0.0,100.0,0.0,0.0,0.0,79.3103448275862
44,15.236141443252563,2.0,1.5,5,222486,76,29,0.0,100.0,0.0,0.0,0.0,79.3103448275862
45,13.634135007858276,2.0,2.0,1,222528,82,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,68.96551724137932
46,13.958068132400513,2.0,2.0,3,222517,76,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,68.96551724137932
51,10.438335657119753,2.0,3.0,1,222528,79,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,72.41379310344827
47,14.31365180015564,2.0,2.0,5,222496,74,29,0.0,100.0,0.0,0.0,0.0,72.41379310344827
48,14.253835916519163,2.0,2.5,1,222528,83,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,58.620689655172406
49,13.383350849151611,2.0,2.5,3,222512,78,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,58.620689655172406
50,13.4878568649292,2.0,2.5,5,222502,75,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,58.620689655172406
52,11.256314039230348,2.0,3.0,3,222515,72,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,75.86206896551724
53,12.347736835479736,2.0,3.0,5,222504,71,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,75.86206896551724
60,11.198949575424194,2.5,1.5,1,222528,70,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,68.96551724137932
61,11.575842142105104,2.5,1.5,3,222513,66,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,72.41379310344827
59,16.31747269630432,2.5,1.0,5,222479,63,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,72.41379310344827
62,12.83829116821289,2.5,1.5,5,222495,63,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,72.41379310344827
65,11.856896877288818,2.5,2.0,5,222502,63,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,65.51724137931035
69,8.768819332122803,2.5,3.0,1,222528,70,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,72.41379310344827
68,12.513702154159546,2.5,2.5,5,222511,60,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,55.172413793103445
70,8.721672773361206,2.5,3.0,3,222518,66,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,72.41379310344827
71,9.81836986541748,2.5,3.0,5,222507,63,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,72.41379310344827
78,12.23554515838623,3.0,1.5,1,222528,62,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,65.51724137931035
79,11.50091552734375,3.0,1.5,3,222516,60,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,68.96551724137932
77,16.35593891143799,3.0,1.0,5,222496,59,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,68.96551724137932
80,11.40885591506958,3.0,1.5,5,222505,59,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,68.96551724137932
83,10.035242557525637,3.0,2.0,5,222505,58,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,65.51724137931035
86,10.213982582092283,3.0,2.5,5,222513,56,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,55.172413793103445
88,8.557129144668579,3.0,3.0,3,222521,60,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,72.41379310344827
89,8.163342475891113,3.0,3.0,5,222517,59,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,72.41379310344827
95,12.731280326843262,3.5,1.0,5,222498,58,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,65.51724137931035
97,10.289530754089355,3.5,1.5,3,222517,56,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,65.51724137931035
98,10.106143951416016,3.5,1.5,5,222506,54,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,58.620689655172406
101,9.54665493965149,3.5,2.0,5,222507,52,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
105,8.035868406295776,3.5,3.0,1,222528,56,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,68.96551724137932
104,9.5151264667511,3.5,2.5,5,222516,51,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
107,8.880271673202515,3.5,3.0,5,222518,53,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,65.51724137931035
106,9.010488510131836,3.5,3.0,3,222522,54,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,65.51724137931035
113,11.720493793487549,4.0,1.0,5,222503,53,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,62.06896551724138
115,9.184818744659424,4.0,1.5,3,222517,53,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,62.06896551724138
116,10.003352403640749,4.0,1.5,5,222506,51,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,55.172413793103445
117,8.619284629821777,4.0,2.0,1,222528,53,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
118,8.75191330909729,4.0,2.0,3,222521,50,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
123,6.876757621765137,4.0,3.0,1,222528,53,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,68.96551724137932
119,9.039511680603027,4.0,2.0,5,222510,49,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
121,8.96583342552185,4.0,2.5,3,222522,48,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
122,9.059274435043337,4.0,2.5,5,222519,47,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
124,7.402438640594482,4.0,3.0,3,222522,51,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,65.51724137931035
125,7.793359279632568,4.0,3.0,5,222518,50,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,65.51724137931035
131,10.620709896087646,4.5,1.0,5,222504,46,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,55.172413793103445
130,10.898930072784424,4.5,1.0,3,222518,48,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,55.172413793103445
132,8.978523969650269,4.5,1.5,1,222528,48,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,51.72413793103448
133,9.96240210533142,4.5,1.5,3,222517,44,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,55.172413793103445
135,8.588342189788818,4.5,2.0,1,222528,47,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
136,8.398842096328735,4.5,2.0,3,222522,45,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
134,9.648931503295898,4.5,1.5,5,222509,42,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,48.27586206896552
137,8.68612813949585,4.5,2.0,5,222511,44,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
139,8.966354131698608,4.5,2.5,3,222522,44,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
140,8.769402742385864,4.5,2.5,5,222522,44,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,48.27586206896552
141,7.996148347854614,4.5,3.0,1,222528,47,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,62.06896551724138
142,8.24147915840149,4.5,3.0,3,222522,44,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,58.620689655172406
143,8.211459159851074,4.5,3.0,5,222518,43,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,58.620689655172406
149,10.375678539276125,5.0,1.0,5,222506,45,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,55.172413793103445
