iteration_id,Runtime (s),Radius,Vres,MinP,N_points,N_hulls,N_trees,0_hulls (%),1_hull (%),2_hull (%),3_hull (%),4+_hull (%),1_to_1_matches (%)
6,23.03774046897888,1.0,1.5,1,222528,280,29,0.0,79.3103448275862,20.6896551724138,0.0,0.0,72.41379310344827
7,23.96156406402588,1.0,1.5,3,222391,187,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,82.75862068965517
3,27.707208156585693,1.0,1.0,1,222528,381,29,0.0,75.86206896551724,24.13793103448276,0.0,0.0,65.51724137931035
4,28.216654300689697,1.0,1.0,3,222316,234,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,79.3103448275862
5,28.199777126312256,1.0,1.0,5,222129,188,29,0.0,100.0,0.0,0.0,0.0,86.20689655172413
0,39.26001167297363,1.0,0.5,1,222528,538,29,0.0,62.06896551724138,31.03448275862069,6.896551724137931,0.0,55.172413793103445
1,41.16279220581055,1.0,0.5,3,222137,312,29,0.0,82.75862068965517,13.79310344827586,3.4482758620689653,0.0,68.96551724137932
2,42.76849842071533,1.0,0.5,5,221778,243,29,0.0,82.75862068965517,13.79310344827586,3.4482758620689653,0.0,68.96551724137932
9,20.787500858306885,1.0,2.0,1,222528,247,29,0.0,75.86206896551724,24.13793103448276,0.0,0.0,58.620689655172406
8,24.748748064041138,1.0,1.5,5,222276,160,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,82.75862068965517
10,21.680519580841064,1.0,2.0,3,222429,175,29,0.0,82.75862068965517,17.24137931034483,0.0,0.0,65.51724137931035
11,21.872411251068115,1.0,2.0,5,222333,150,29,0.0,89.65517241379311,10.344827586206897,0.0,0.0,72.41379310344827
12,23.582293033599854,1.0,2.5,1,222528,190,29,0.0,86.20689655172413,13.79310344827586,0.0,0.0,68.96551724137932
15,19.760120391845703,1.0,3.0,1,222528,196,29,0.0,82.75862068965517,17.24137931034483,0.0,0.0,72.41379310344827
13,23.29019856452942,1.0,2.5,3,222457,144,29,0.0,89.65517241379311,10.344827586206897,0.0,0.0,72.41379310344827
14,22.632291316986084,1.0,2.5,5,222394,127,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,75.86206896551724
16,19.35922265052796,1.0,3.0,3,222445,139,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,79.3103448275862
17,20.121224641799927,1.0,3.0,5,222383,122,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,79.3103448275862
18,32.00897455215454,1.5,0.5,1,222528,180,29,0.0,75.86206896551724,24.13793103448276,0.0,0.0,62.06896551724138
24,17.522907495498657,1.5,1.5,1,222528,128,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,72.41379310344827
19,32.903477907180786,1.5,0.5,3,222424,140,29,0.0,86.20689655172413,13.79310344827586,0.0,0.0,62.06896551724138
21,21.911954879760746,1.5,1.0,1,222528,149,29,0.0,82.75862068965517,17.24137931034483,0.0,0.0,62.06896551724138
22,22.18510341644287,1.5,1.0,3,222473,122,29,0.0,86.20689655172413,13.79310344827586,0.0,0.0,65.51724137931035
23,22.57796049118042,1.5,1.0,5,222404,108,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,75.86206896551724
20,35.03332996368408,1.5,0.5,5,222295,128,29,0.0,89.65517241379311,10.344827586206897,0.0,0.0,65.51724137931035
25,18.956455945968628,1.5,1.5,3,222487,106,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,75.86206896551724
27,15.093747854232788,1.5,2.0,1,222528,116,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,68.96551724137932
28,15.61193037033081,1.5,2.0,3,222501,102,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,68.96551724137932
30,14.529919147491457,1.5,2.5,1,222528,106,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,68.96551724137932
29,15.756839275360107,1.5,2.0,5,222464,94,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,72.41379310344827
26,18.434568405151367,1.5,1.5,5,222435,97,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,75.86206896551724
31,14.18557095527649,1.5,2.5,3,222506,100,29,0.0,93.10344827586206,6.896551724137931,0.0,0.0,68.96551724137932
33,13.23405623435974,1.5,3.0,1,222528,105,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,75.86206896551724
32,14.750162124633787,1.5,2.5,5,222479,93,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,72.41379310344827
34,14.31292986869812,1.5,3.0,3,222498,89,29,0.0,100.0,0.0,0.0,0.0,79.3103448275862
35,14.144689083099363,1.5,3.0,5,222471,84,29,0.0,100.0,0.0,0.0,0.0,79.3103448275862
39,16.514317274093628,2.0,1.0,1,222528,96,29,0.0,86.20689655172413,13.79310344827586,0.0,0.0,65.51724137931035
40,17.96162724494934,2.0,1.0,3,222499,84,29,0.0,89.65517241379311,10.344827586206897,0.0,0.0,68.96551724137932
41,19.604089498519897,2.0,1.0,5,222460,77,29,0.0,96.55172413793105,3.4482758620689653,0.0,0.0,75.86206896551724
