it_id,R,Vres,minP,runtime,Pcd_loss,N_muni,muni_skip,N_hulls,H0,H1,H2,H3,H4+,Hmulti,OS_tree,OS_tree%,OS_per_tree,OS_per_tree%
5,1.0,1.25,1,0.0,,29,2,291,261,29,1,0,0,1,25,0.93,5,
6,1.0,1.25,2,0.0,,29,2,220,191,27,2,0,0,2,21,0.78,4,
7,1.0,1.25,3,0.0,,29,2,195,168,25,2,0,0,2,20,0.74,4,
8,1.0,1.25,4,0.0,,29,2,173,147,24,2,0,0,2,18,0.67,3,
9,1.0,1.25,5,0.0,,29,2,157,131,24,2,0,0,2,17,0.63,3,
10,1.0,1.0,1,0.0,,29,2,381,348,32,1,0,0,1,29,1.07,7,
11,1.0,1.0,2,0.0,,29,2,276,246,29,1,0,0,1,25,0.93,5,
12,1.0,1.0,3,0.0,,29,2,234,206,27,1,0,0,1,24,0.89,4,
13,1.0,1.0,4,0.0,,29,2,206,180,25,1,0,0,1,21,0.78,4,
14,1.0,1.0,5,0.0,,29,2,188,162,25,1,0,0,1,20,0.74,3,
15,1.0,5.0,1,0.0,,29,2,137,112,21,1,3,0,4,15,0.56,2,
16,1.0,5.0,2,0.0,,29,2,118,93,21,1,3,0,4,13,0.48,2,
17,1.0,5.0,3,0.0,,29,2,115,90,21,1,3,0,4,13,0.48,1,
18,1.0,5.0,4,0.0,,29,2,109,85,20,1,3,0,4,9,0.33,2,
19,1.0,5.0,5,0.0,,29,2,102,79,18,2,3,0,5,7,0.26,1,
20,1.0,1.75,1,0.0,,29,2,245,213,31,1,0,0,1,28,1.04,5,
21,1.0,1.75,2,0.0,,29,2,194,162,31,1,0,0,1,26,0.96,3,
22,1.0,1.75,3,0.0,,29,2,167,137,28,2,0,0,2,23,0.85,3,
23,1.0,1.75,4,0.0,,29,2,155,125,28,2,0,0,2,20,0.74,3,
24,1.0,1.75,5,0.0,,29,2,145,115,28,2,0,0,2,20,0.74,3,
25,1.0,2.0,1,0.0,,29,2,247,215,30,2,0,0,2,26,0.96,4,
26,1.0,2.0,2,0.0,,29,2,194,164,28,2,0,0,2,22,0.81,3,
27,1.0,2.0,3,0.0,,29,2,175,145,28,2,0,0,2,21,0.78,3,
28,1.0,2.0,4,0.0,,29,2,161,133,26,2,0,0,2,19,0.7,3,
29,1.0,2.0,5,0.0,,29,2,150,122,26,2,0,0,2,18,0.67,2,
30,1.0,2.25,1,0.0,,29,2,215,185,29,1,0,0,1,25,0.93,4,
31,1.0,2.25,2,0.0,,29,2,171,143,27,1,0,0,1,21,0.78,3,
32,1.0,2.25,3,0.0,,29,2,150,123,26,0,1,0,1,21,0.78,2,
33,1.0,2.25,4,0.0,,29,2,135,110,23,0,2,0,2,18,0.67,2,
34,1.0,2.25,5,0.0,,29,2,125,100,23,0,2,0,2,17,0.63,1,
35,1.0,2.5,1,0.0,,29,2,190,162,27,0,0,1,1,23,0.85,3,
36,1.0,2.5,2,0.0,,29,2,155,128,26,0,0,1,1,19,0.7,3,
37,1.0,2.5,3,0.0,,29,2,144,117,26,0,0,1,1,19,0.7,2,
38,1.0,2.5,4,0.0,,29,2,136,110,25,0,0,1,1,18,0.67,2,
39,1.0,2.5,5,0.0,,29,2,127,101,25,0,0,1,1,18,0.67,2,
40,1.0,2.75,1,0.0,,29,2,190,162,25,2,1,0,3,20,0.74,3,
41,1.0,2.75,2,0.0,,29,2,158,130,25,2,1,0,3,19,0.7,2,
42,1.0,2.75,3,0.0,,29,2,146,119,23,3,1,0,4,19,0.7,2,
43,1.0,2.75,4,0.0,,29,2,133,108,21,3,1,0,4,15,0.56,2,
44,1.0,2.75,5,0.0,,29,2,122,97,21,3,1,0,4,14,0.52,2,
45,1.0,3.0,1,0.0,,29,2,196,165,30,1,0,0,1,25,0.93,3,
46,1.0,3.0,2,0.0,,29,2,156,127,28,1,0,0,1,21,0.78,3,
