iteration_id,Runtime (s),Radius,Vres,MinP,N_points,N_hulls,N_trees,0_hulls (%),1_hull (%),2_hull (%),3_hull (%),4+_hull (%),1_to_1_matches (%)
29,185.12304091453552,1,3,5,1426590,952,229,0.0,70.3056768558952,19.213973799126638,7.423580786026202,3.056768558951965,32.751091703056765
20,195.23073649406433,1,2.5,1,1427791,1681,229,0.0,61.135371179039296,23.580786026200872,10.480349344978166,4.8034934497816595,31.877729257641924
25,195.94052410125732,1,3,1,1427791,1527,229,0.0,66.8122270742358,20.96069868995633,6.986899563318777,5.240174672489083,33.624454148471614
27,200.30982780456543,1,3,3,1427170,1114,229,0.0,68.5589519650655,20.087336244541483,7.423580786026202,3.9301310043668125,33.624454148471614
28,204.2998285293579,1,3,4,1426856,1014,229,0.0,68.5589519650655,20.52401746724891,6.986899563318777,3.9301310043668125,32.751091703056765
26,203.37920379638672,1,3,2,1427482,1253,229,0.0,67.24890829694323,20.96069868995633,6.986899563318777,4.8034934497816595,33.624454148471614
23,210.05004000663757,1,2.5,4,1426752,1095,229,0.0,64.62882096069869,24.890829694323145,7.860262008733625,2.6200873362445414,32.751091703056765
24,211.6921021938324,1,2.5,5,1426392,1014,229,0.0,65.50218340611353,24.017467248908297,8.73362445414847,1.7467248908296942,33.624454148471614
13,209.66922402381897,1,1.5,4,1425986,1450,229,0.0,67.68558951965066,17.903930131004365,8.73362445414847,5.676855895196507,35.80786026200873
19,224.7318365573883,1,2,5,1426062,1115,229,0.0,67.68558951965066,21.397379912663755,6.550218340611353,4.366812227074235,34.93449781659388
21,218.42829370498657,1,2.5,2,1427424,1348,229,0.0,63.31877729257642,23.580786026200872,10.480349344978166,2.6200873362445414,33.624454148471614
22,224.7209827899933,1,2.5,3,1427107,1210,229,0.0,64.19213973799127,24.017467248908297,8.73362445414847,3.056768558951965,32.751091703056765
18,232.21665596961975,1,2,4,1426476,1207,229,0.0,66.8122270742358,21.83406113537118,6.11353711790393,5.240174672489083,34.93449781659388
14,227.88104438781738,1,1.5,5,1425465,1336,229,0.0,68.5589519650655,17.46724890829694,10.480349344978166,3.4934497816593884,35.80786026200873
15,206.31933736801147,1,2,1,1427791,1956,229,0.0,60.698689956331876,26.200873362445414,7.423580786026202,5.676855895196507,34.06113537117904
17,234.19664120674133,1,2,3,1426857,1327,229,0.0,65.93886462882097,22.270742358078603,6.550218340611353,5.240174672489083,35.37117903930131
16,226.72726345062256,1,2,2,1427307,1525,229,0.0,63.31877729257642,24.45414847161572,6.986899563318777,5.240174672489083,35.80786026200873
31,281.32954239845276,1.5,0.5,2,1427223,1308,229,0.0,56.33187772925764,27.074235807860266,11.353711790393014,5.240174672489083,34.06113537117904
12,248.25164198875427,1,1.5,3,1426604,1635,229,0.0,67.68558951965066,17.46724890829694,9.606986899563319,5.240174672489083,37.55458515283843
11,221.48547410964966,1,1.5,2,1427211,1897,229,0.0,64.62882096069869,18.340611353711793,12.22707423580786,4.8034934497816595,35.37117903930131
9,287.09430718421936,1,1,5,1424288,1578,229,0.0,58.951965065502186,28.38427947598253,6.986899563318777,5.676855895196507,32.751091703056765
30,276.0042464733124,1.5,0.5,1,1427791,1676,229,0.0,52.838427947598255,26.637554585152838,13.100436681222707,7.423580786026202,32.751091703056765
8,275.7557487487793,1,1,4,1425163,1752,229,0.0,58.515283842794766,27.947598253275107,6.986899563318777,6.550218340611353,33.18777292576419
10,221.203675031662,1,1.5,1,1427791,2418,229,0.0,64.19213973799127,17.46724890829694,13.537117903930133,4.8034934497816595,37.55458515283843
7,295.059383392334,1,1,3,1425945,1974,229,0.0,58.951965065502186,26.200873362445414,8.296943231441048,6.550218340611353,34.49781659388647
6,302.2118110656738,1,1,2,1426875,2365,229,0.0,55.895196506550214,25.76419213973799,10.043668122270741,8.296943231441048,32.751091703056765
5,279.69115567207336,1,1,1,1427791,3147,229,0.0,53.7117903930131,25.76419213973799,11.790393013100436,8.73362445414847,32.314410480349345
0,362.87275195121765,1,0.5,1,1427791,4779,229,0.0,46.724890829694324,24.890829694323145,13.973799126637553,14.41048034934498,30.567685589519648
35,164.15004324913025,1.5,1,1,1427791,1246,229,0.0,64.62882096069869,22.270742358078603,8.296943231441048,4.8034934497816595,35.80786026200873
3,377.7465145587921,1,0.5,4,1422461,2421,229,0.0,55.45851528384279,24.45414847161572,11.353711790393014,8.73362445414847,34.06113537117904
4,382.0795831680298,1,0.5,5,1420732,2129,229,0.0,55.895196506550214,24.45414847161572,12.22707423580786,7.423580786026202,34.49781659388647
1,381.75595211982727,1,0.5,2,1425986,3425,229,0.0,49.78165938864629,25.327510917030565,12.663755458515283,12.22707423580786,31.4410480349345
2,405.41526079177856,1,0.5,3,1424177,2803,229,0.0,52.838427947598255,24.017467248908297,13.100436681222707,10.043668122270741,34.06113537117904
36,167.94714546203613,1.5,1,2,1427474,1015,229,0.0,66.8122270742358,21.397379912663755,8.73362445414847,3.056768558951965,35.80786026200873
32,271.0608928203583,1.5,0.5,3,1426620,1136,229,0.0,61.135371179039296,24.890829694323145,9.606986899563319,4.366812227074235,34.93449781659388
37,161.94306683540344,1.5,1,3,1427175,899,229,0.0,68.99563318777294,20.52401746724891,6.986899563318777,3.4934497816593884,35.80786026200873
52,103.89318871498108,1.5,2.5,3,1427539,664,229,0.0,74.235807860262,20.087336244541483,4.366812227074235,1.3100436681222707,33.18777292576419
56,101.42929649353027,1.5,3,2,1427668,658,229,0.0,77.72925764192141,16.157205240174672,5.240174672489083,0.8733624454148471,34.49781659388647
53,106.36790347099304,1.5,2.5,4,1427395,617,229,0.0,74.67248908296943,20.52401746724891,3.4934497816593884,1.3100436681222707,33.18777292576419
51,108.17045164108276,1.5,2.5,2,1427660,705,229,0.0,73.7991266375546,20.087336244541483,4.366812227074235,1.7467248908296942,33.624454148471614
55,100.4912657737732,1.5,3,1,1427791,762,229,0.0,78.16593886462883,14.847161572052403,6.11353711790393,0.8733624454148471,34.93449781659388
54,110.84035086631775,1.5,2.5,5,1427223,580,229,0.0,75.54585152838428,18.777292576419214,4.366812227074235,1.3100436681222707,33.18777292576419
50,109.37066173553467,1.5,2.5,1,1427791,818,229,0.0,72.48908296943232,20.96069868995633,3.4934497816593884,3.056768558951965,34.06113537117904
57,112.46102714538574,1.5,3,3,1427560,617,229,0.0,78.60262008733623,14.41048034934498,6.550218340611353,0.43668122270742354,34.93449781659388
48,125.70289397239685,1.5,2,4,1427333,640,229,0.0,71.61572052401746,19.213973799126638,7.860262008733625,1.3100436681222707,33.624454148471614
58,114.16742205619812,1.5,3,4,1427434,578,229,0.0,79.91266375545851,13.537117903930133,6.11353711790393,0.43668122270742354,34.49781659388647
47,126.81563544273376,1.5,2,3,1427468,682,229,0.0,72.0524017467249,18.777292576419214,7.423580786026202,1.7467248908296942,34.49781659388647
59,117.8872582912445,1.5,3,5,1427316,550,229,0.0,79.91266375545851,13.973799126637553,5.240174672489083,0.8733624454148471,33.18777292576419
49,127.47626686096191,1.5,2,5,1427153,607,229,0.0,72.48908296943232,18.340611353711793,7.423580786026202,1.7467248908296942,33.18777292576419
46,127.41857075691223,1.5,2,2,1427620,738,229,0.0,69.86899563318777,20.087336244541483,8.296943231441048,1.7467248908296942,34.93449781659388
45,121.88699746131897,1.5,2,1,1427791,876,229,0.0,69.43231441048034,20.087336244541483,6.986899563318777,3.4934497816593884,34.93449781659388
44,140.93132209777832,1.5,1.5,5,1426937,674,229,0.0,75.54585152838428,16.157205240174672,6.550218340611353,1.7467248908296942,37.55458515283843
34,272.2623417377472,1.5,0.5,5,1425374,934,229,0.0,65.50218340611353,22.270742358078603,7.423580786026202,4.8034934497816595,36.24454148471616
42,142.54977798461914,1.5,1.5,3,1427391,782,229,0.0,76.41921397379913,13.537117903930133,7.860262008733625,2.1834061135371177,38.864628820960704
39,168.02386474609375,1.5,1,5,1426523,759,229,0.0,71.17903930131004,21.397379912663755,3.4934497816593884,3.9301310043668125,36.681222707423586
43,155.8063313961029,1.5,1.5,4,1427174,718,229,0.0,75.54585152838428,15.283842794759824,7.423580786026202,1.7467248908296942,37.117903930131
40,141.00228571891785,1.5,1.5,1,1427791,1014,229,0.0,72.48908296943232,17.03056768558952,7.423580786026202,3.056768558951965,37.99126637554585
41,145.28049755096436,1.5,1.5,2,1427592,856,229,0.0,74.67248908296943,14.41048034934498,8.73362445414847,2.1834061135371177,37.55458515283843
33,279.7954366207123,1.5,0.5,4,1425983,1008,229,0.0,63.75545851528385,24.017467248908297,7.860262008733625,4.366812227074235,34.93449781659388
38,167.47371315956116,1.5,1,4,1426861,811,229,0.0,70.74235807860262,20.52401746724891,4.8034934497816595,3.9301310043668125,35.80786026200873
65,125.68830585479736,2,1,1,1427791,739,229,0.0,69.43231441048034,23.580786026200872,4.366812227074235,2.6200873362445414,33.18777292576419
66,131.6366467475891,2,1,2,1427622,626,229,0.0,72.92576419213974,23.144104803493452,2.6200873362445414,1.3100436681222707,33.624454148471614
62,200.20992183685303,2,0.5,3,1427191,664,229,0.0,70.74235807860262,19.213973799126638,6.986899563318777,3.056768558951965,36.24454148471616
60,198.05633640289307,2,0.5,1,1427791,900,229,0.0,62.00873362445415,21.83406113537118,12.22707423580786,3.9301310043668125,33.18777292576419
61,202.405695438385,2,0.5,2,1427506,743,229,0.0,66.37554585152839,21.83406113537118,7.860262008733625,3.9301310043668125,34.49781659388647
67,129.48390650749207,2,1,3,1427475,582,229,0.0,74.67248908296943,20.96069868995633,2.1834061135371177,2.1834061135371177,33.18777292576419
63,211.5196840763092,2,0.5,4,1426851,598,229,0.0,72.48908296943232,19.213973799126638,6.550218340611353,1.7467248908296942,35.80786026200873
64,209.04722785949707,2,0.5,5,1426522,558,229,0.0,73.7991266375546,18.777292576419214,6.11353711790393,1.3100436681222707,37.117903930131
68,140.47734832763672,2,1,4,1427289,537,229,0.0,76.41921397379913,19.65065502183406,1.7467248908296942,2.1834061135371177,31.4410480349345
81,85.16464877128601,2,2.5,2,1427723,489,229,0.0,79.47598253275109,13.973799126637553,4.8034934497816595,1.7467248908296942,30.567685589519648
